Channel,CellId,BeamIndex,Type,cellIdentity,mnc,mcc,xhat1,yhat1,xhat2,yhat2,est_Lat1,est_Lon1,est_Lat2,est_Lon2,Max_cinr,Num_points,Confidence
66486,485,,Sector,17992472,410;100,310;313,554.9745,1087.0675,454.9745,1087.0675,39.211796,-77.239019,39.211796,-77.240180,30.18,13,High
66486,308,,Sector,18071318,410;100,310;313,228.5796,-1216.6455,228.5796,-1316.6455,39.181003,-77.257321,39.180103,-77.257321,21.35,10,High
66486,6,,Sector,18498326,410;100,310;313,445.9999,-1179.5900,445.9999,-1079.5900,39.212454,-77.275385,39.213354,-77.275385,29.83,15,High
66486,6/395,,Tower,18498326_328,410;100/410;100,310;313/310;313,0,0,0,0,39.215045,-77.278446,39.212795,-77.275543,29.83,21,High
66486,395,,Sector,18498328,410;100,310;313,-411.9134,579.0153,88.0866,-20.9847,39.217635,-77.281507,39.212236,-77.275701,17.34,6,High
66486,147,,Sector,18513942,410;100,310;313,-403.5521,-93.1977,-503.5521,-293.1977,39.230393,-77.285812,39.228594,-77.286973,28.63,17,High
66486,147/260,,Tower,18513942_943,410;100/410;100,310;313/310;313,0,0,0,0,39.228342,-77.284820,39.228792,-77.285982,28.63,43,High
66486,260,,Sector,18513943,410;100,310;313,-30.0828,-300.4899,-130.0828,-0.4899,39.226291,-77.283829,39.228991,-77.284991,23.41,26,High
66486,461,,Sector,18625303,410;100,310;313,-971.9327,321.2613,-1171.9327,321.2613,39.200799,-77.256033,39.200799,-77.258355,23.78,15,High
66486,461/426/76,,Tower,18625303_304_305,410;100/410;100/410;100,310;313/310;313/310;313,0,0,0,0,39.197827,-77.270791,39.196028,-77.269243,26.59,44,High
66486,426,,Sector,18625304,410;100,310;313,391.5505,71.8298,391.5505,71.8298,39.199411,-77.259912,39.199411,-77.259912,26.59,23,High
66486,76,,Sector,18625305,410;100,310;313,-2239.7728,-1202.5441,-1639.7728,-1802.5441,39.193272,-77.296429,39.187873,-77.289462,24.65,6,High
66486,292,,Sector,19252503,410;100,310;313,-159.4405,738.9049,-159.4405,738.9049,39.228396,-77.287010,39.228396,-77.287010,27.41,7,High
66611,167,,Sector,27143456,480,311,336.1306,591.2189,236.1306,291.2189,39.214325,-77.243247,39.211625,-77.244408,24.13,8,High
66611,204,,Sector,27189772,480,311,-809.2436,-905.5255,-809.2436,-1005.5255,39.204245,-77.257942,39.203346,-77.257942,18.15,5,High
66611,205,,Sector,27189782,480,311,-1174.4567,941.0692,-1174.4567,941.0692,39.200343,-77.257604,39.200343,-77.257604,20.66,25,High
66611,206,,Sector,27189792,480,311,756.4956,-296.1236,856.4956,-296.1236,39.200369,-77.260313,39.200369,-77.259152,30.41,26,High
66611,363,,Sector,27193612,480,311,400.1464,-1151.6506,600.1464,-1551.6506,39.217216,-77.278035,39.213617,-77.275712,25.05,22,High
66611,364,,Sector,27193622,480,311,-218.0214,578.1160,-218.0214,578.1160,39.212672,-77.276598,39.212672,-77.276598,24.94,21,High
66611,365,,Sector,27193632,480,311,490.9520,318.5913,-109.0480,518.5913,39.213807,-77.270491,39.215606,-77.277458,17.57,5,High
66611,393,,Sector,27196940,480,311,307.7312,-867.0403,307.7312,-967.0403,39.184149,-77.256402,39.183249,-77.256402,26.02,8,High
66611,48,,Sector,27215116,480,311,-459.1004,-174.1744,-459.1004,-174.1744,39.229683,-77.286457,39.229683,-77.286457,30.04,19,High
66611,49,,Sector,27215126,480,311,-325.9046,199.4291,-325.9046,199.4291,39.229615,-77.286597,39.229615,-77.286597,34.70,14,High
66786,468,,Sector,11544321,260,310,-1250.4758,94.8139,-1250.4758,94.8139,39.200196,-77.259542,39.200196,-77.259542,19.50,29,High
