Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,RxLev,BSIC,C/I,HRTOA,Raw Messages,cellIdentity,mnc,mcc,LAC,C1,C2,Neighbor List,3G Neighbor List,EUTRA Neighbor List
9/22/2025,15:41:09:930,38.897083,-77.03951,116,622,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:09:930,38.897066,-77.03951,118,624,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:09:930,38.89705,-77.03951,120,626,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:10:309,38.897041,-77.03951,121,627,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:10:309,38.897033,-77.03951,122,628,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:10:310,38.897025,-77.03951,123,629,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:10:310,38.897017,-77.03951,124,630,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:10:680,38.897,-77.03951,126,632,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:10:680,38.896994,-77.03951,127,633,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:10:681,38.896988,-77.03951,128,634,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:10:681,38.896977,-77.03951,130,636,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:053,38.896971,-77.03951,131,637,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:053,38.896965,-77.03951,132,638,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:053,38.896959,-77.03951,133,639,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:053,38.896954,-77.03951,134,640,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:428,38.896942,-77.03951,136,642,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:428,38.896936,-77.03951,137,643,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:429,38.89693,-77.03951,138,644,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:429,38.896919,-77.03951,140,646,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:805,38.896913,-77.03951,141,647,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:805,38.8969,-77.03951,142,648,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:805,38.896874,-77.03951,144,650,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:11:805,38.896861,-77.03951,145,651,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:12:192,38.896848,-77.03951,146,652,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:12:562,38.896828,-77.03951,148,654,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:12:562,38.896815,-77.03951,150,656,,,,,,,,,,,,,,,,,,,,,
