Channel,CellId,BeamIndex,Type,cellIdentity,mnc,mcc,xhat1,yhat1,xhat2,yhat2,est_Lat1,est_Lon1,est_Lat2,est_Lon2,Max_cinr,Num_points,Confidence
630720,539,0,Sector,,,,-424.8141,-3215.3179,-1024.8141,-2615.3179,39.202122,-77.285803,39.207521,-77.292772,2.43,8,Low
630720,275,4,Sector,25907866678,410;100,310;313,-1147.5835,638.5440,-1247.5835,238.5440,39.189769,-77.268493,39.186170,-77.269654,5.84,10,High
632736,376,0,Sector,25796176946,410;100,310;313,1577.3892,-1052.0193,2177.3892,-452.0193,39.175814,-77.239086,39.181213,-77.232121,5.04,11,High
648672,205,3,Sector,17516137978,480,311,-957.6280,714.2918,-1257.6280,714.2918,39.199990,-77.254329,39.199990,-77.257812,14.95,20,High
648672,206,3,Sector,17516137994,480,311,-61.9968,-317.1688,-261.9968,-517.1688,39.193322,-77.262969,39.191523,-77.265291,22.82,22,High
648672,167,3,Sector,17516168250,480,311,1439.7862,1163.0184,1539.7862,1163.0184,39.213695,-77.252617,39.213695,-77.251456,7.89,6,Low
648672,393,3,Sector,17516169050,480,311,473.8016,-561.2187,573.8016,-1161.2187,39.186790,-77.254424,39.181392,-77.253263,14.49,9,High
648672,363,3,Sector,17516184394,480,311,715.2667,-1302.6457,615.2667,-1802.6457,39.217329,-77.275207,39.212830,-77.276368,16.59,23,High
648672,364,3,Sector,17516184410,480,311,136.6180,19.9577,136.6180,-80.0423,39.207829,-77.272624,39.206929,-77.272624,7.63,9,High
648672,365,3,Sector,17516184426,480,311,-2817.4739,-1052.3066,-2817.4739,-552.3066,39.202462,-77.309296,39.206960,-77.309296,14.86,5,High
648672,48,3,Sector,17516185018,480,311,-269.6085,-130.9485,-469.6085,-330.9485,39.229981,-77.284259,39.228181,-77.286582,19.86,17,High
648672,49,3,Sector,17516185034,480,311,-947.0338,1429.6254,-947.0338,1629.6254,39.227254,-77.287025,39.229054,-77.287025,15.53,15,High
648672,50,3,Sector,17516185050,480,311,-166.2987,-62.3371,-266.2987,-162.3371,39.230729,-77.287890,39.229829,-77.289051,7.19,4,Low
653952,205,3,Sector,17516137979,480,311,-790.6456,818.7509,-1290.6456,918.7509,39.200682,-77.252268,39.201582,-77.258073,12.74,22,High
653952,206,3,Sector,17516137995,480,311,644.4713,-289.4606,644.4713,-89.4606,39.197477,-77.258369,39.199276,-77.258369,21.45,26,High
653952,167,3,Sector,17516168251,480,311,88.1700,939.7648,88.1700,839.7648,39.212149,-77.248711,39.211249,-77.248711,12.82,12,High
653952,393,3,Sector,17516169051,480,311,461.6428,-601.8211,661.6428,-1201.8211,39.187841,-77.255165,39.182442,-77.252844,12.38,13,High
